x_coord [mm],y_coord [mm],pow1_mean,pow2_mean,inc_ang_sim_deg,rssd_sim_db,scenario,rssd_guide_interp_db,delta_db
1500,1750,2.24507504239005e-06,3.4838946410270875e-07,49.398705354995535,8.091658493001376,B,-8.166337467243098,16.25799596024447
2250,-1750,1.6022298080789738e-06,9.247381291409347e-07,-37.874983651098205,2.3870604215623956,B,9.083262009368497,-6.696201587806101
2250,-1250,1.8335657496498052e-06,1.8516703081477146e-06,-29.054604099077146,-0.042671747403637994,B,10.126996681591912,-10.16966842899555
2250,-750,2.1665388913209565e-06,2.6421826360480996e-06,-18.43494882292201,-0.8619634471202531,B,10.529141751250947,-11.3911051983712
2250,-250,3.195812111210898e-06,3.2627614357018196e-06,-6.34019174590991,-0.09004082240622324,B,9.583356919036797,-9.67339774144302
2250,250,3.501411361297148e-06,2.2763251658639103e-06,6.34019174590991,1.8700883684941019,B,6.901509902408479,-5.0314215339143775
2250,750,2.3744436891823036e-06,1.367695927879874e-06,18.43494882292201,2.395723207110535,B,2.790945594673695,-0.39522238756315975
2250,1250,2.991309144980631e-06,1.1408796063413738e-06,29.054604099077146,4.186214816744631,B,-1.6251553460839447,5.811370162828576
2250,1750,2.7602236628344506e-06,1.220771149129877e-06,37.874983651098205,3.5431001776019784,B,-5.140458045562703,8.683558223164681
3000,-1750,1.9944385352145387e-06,1.3572868562960114e-06,-30.256437163529263,1.67149013236466,B,10.018541248519883,-8.347051116155223
3000,-1250,1.6657349891348254e-06,2.3399255597132935e-06,-22.619864948040426,-1.4759613308746822,B,10.499568623229143,-11.975529954103825
3000,-750,1.8181015133960913e-06,1.3841263940582719e-06,-14.036243467926479,1.184423779888327,B,10.367126963711025,-9.182703183822698
3000,-250,1.8733349677419507e-06,1.0821736656796923e-06,-4.763641690726178,2.3831847843408127,B,9.344065467513653,-6.9608806831728405
3000,250,1.5971576484506616e-06,1.3880971551568926e-06,4.763641690726178,0.6092792141101739,B,7.329141235953598,-6.719862021843424
3000,750,2.42421835759691e-06,9.529813487137612e-07,14.036243467926479,4.054873347162911,B,4.4436326926643925,-0.38875934550148195
3000,1250,2.5906055662436815e-06,9.345081006695974e-07,22.619864948040426,4.428182239674705,B,1.0961684927846806,3.332013746890024
3000,1750,2.599839844141585e-06,1.5182558925416664e-06,30.256437163529263,2.336016199492967,B,-2.132350005468998,4.468366204961965
3750,-1750,1.0041038364669405e-06,1.80937855806608e-06,-25.016893478100023,-2.5575081300267755,B,10.40523317235332,-12.962741302380095
3750,-1250,1.864749180256976e-06,1.4712127487103395e-06,-18.43494882292201,1.0294494530788043,B,10.529141751250947,-9.499692298172143
3750,-750,1.6157880489422468e-06,1.2933886077520812e-06,-11.309932474020213,0.9665536024483359,B,10.160281387247505,-9.193727784799169
3750,-250,1.666756193391558e-06,1.1794397444874277e-06,-3.8140748342903543,1.5019631912411242,B,9.1885657092882,-7.686602518047076
3750,250,2.146247990096096e-06,8.976896278001775e-07,3.8140748342903543,3.7855369423216203,B,7.575187375737495,-3.7896504334158747
3750,750,1.9105388605758944e-06,1.305771987191219e-06,11.309932474020213,1.652885282915335,B,5.380585067981628,-3.727699785066293
3750,1250,1.6469842197884753e-06,1.4092108111343425e-06,18.43494882292201,0.6771347176684728,B,2.790945594673695,-2.113810877005222
3750,1750,9.025911192884006e-07,1.7826144523810183e-06,25.016893478100023,-2.9556636707856683,B,0.09001726630177777,-3.0456809370874462
4500,-1750,2.5867209960868976e-06,1.4386936830513035e-06,-21.25050550713324,2.547812514794117,B,10.52841964881827,-7.980607134024153
4500,-1250,6.933339478656553e-07,4.584088245275841e-07,-15.524110996754258,1.7968949581954163,B,10.443270801618599,-8.646375843423183
4500,-750,1.1060403250599324e-06,8.402310331538356e-07,-9.462322208025617,1.193722434125604,B,9.976673387273337,-8.782950953147733
4500,-250,1.4941626990875586e-06,6.918376643807328e-07,-3.1798301198642345,3.3439368851948785,B,9.077320611745527,-5.733383726550649
4500,250,1.3281848972972908e-06,8.02524978418559e-07,3.1798301198642345,2.187999789867696,B,7.732337629499107,-5.544337839631411
4500,750,1.2182556856559191e-06,7.67448609905409e-07,9.462322208025617,2.0068914314845614,B,5.975585426145386,-3.968693994660825
4500,1250,6.162074331929549e-07,1.2433543707518695e-06,15.524110996754258,-3.048679925416515,B,3.9011952024490912,-6.949875127865607
4500,1750,3.437853737088476e-06,1.3352012018811978e-06,21.25050550713324,4.107406811565788,B,1.6611365829967728,2.4462702285690154
5250,-1750,3.0990996460144774e-07,3.3346409646161644e-07,-18.43494882292201,-0.31813540559980424,B,10.529141751250947,-10.847277156850751
5250,-1250,8.200156266300555e-07,6.541055910016514e-07,-13.392497753751098,0.981742672940058,B,10.323649833587382,-9.341907160647324
5250,-750,8.150622563602526e-07,6.072891805941747e-07,-8.13010235415598,1.2779523859194484,B,9.82297662400389,-8.54502423808444
5250,-250,1.0778597241288904e-06,6.807512969649997e-07,-2.7263109939062655,1.9957376672324898,B,8.995802723988149,-7.000065056755659
5250,250,1.2864185648664303e-06,5.499470451688308e-07,2.7263109939062655,3.6906142599026523,B,7.842658167683692,-4.15204390778104
5250,750,1.3002251959382657e-06,6.585908447950287e-07,8.13010235415598,2.9540288839960027,B,6.384323426993713,-3.43029454299771
5250,1250,1.697928915969008e-06,1.0243165016060854e-06,13.392497753751098,2.1948533528820704,B,4.669852697871307,-2.4749993449892367
5250,1750,2.430427694475937e-06,1.5177597441936163e-06,18.43494882292201,2.0447967551338806,B,2.790945594673695,-0.7461488395398144
750,-1750,1.1947804488709743e-06,7.573335563601301e-07,-66.80140948635182,1.9800090707469025,C,3.9429773455505077,-1.9629682748036053
750,-1250,1.1955887339369914e-06,1.1062330216026526e-06,-59.03624346792648,0.3373519578693518,C,5.379266395267229,-5.041914437397877
750,-750,2.062429229306622e-06,8.319138759468006e-07,-45.0,3.9430068679890695,C,7.9328958206078966,-3.989888952618827
750,-250,3.995974737203411e-06,5.355285520579742e-06,-18.43494882292201,-1.271598965555448,C,10.529141751250947,-11.800740716806395
750,250,2.783006036720231e-06,2.8727127629751204e-06,18.43494882292201,-0.137780555135528,C,2.790945594673695,-2.928726149809223
750,750,3.923606173009424e-06,1.1449076126367309e-06,45.0,5.349149660785791,C,-7.2794329476226665,12.628582608408458
750,1250,1.8981247077980031e-06,2.1820504173179362e-07,59.03624346792648,9.394599614561287,C,-9.37368223429675,18.768281848858038
750,1750,1.3736408643867202e-06,1.3938169916238642e-07,66.80140948635182,9.936674475782482,C,-10.366700742570027,20.303375218352507
1500,-1750,1.2118608492078061e-06,1.3149756753094303e-06,-49.398705354995535,-0.35464963997359433,C,7.151557745556891,-7.506207385530486
1500,-1250,1.8474782119451813e-06,2.047096802603375e-06,-39.80557109226519,-0.445590546700231,C,8.791695739310788,-9.237286286011019
1500,-750,2.334859066408622e-06,1.6454962081484988e-06,-26.56505117707799,1.5196378554841914,C,10.315667334357181,-8.79602947887299
1500,-250,4.570189468337913e-06,3.7342755245652214e-06,-9.462322208025617,0.8772784700661518,C,9.976673387273337,-9.099394917207185
1500,250,3.204792559573105e-06,2.1796630801474375e-06,9.462322208025617,1.6741055563283638,C,5.975585426145386,-4.3014798698170225
1500,750,2.945856626801655e-06,1.1798409714524058e-06,26.56505117707799,3.973881326371419,C,-0.567009072519164,4.540890398890583
1500,1250,2.420829361668792e-06,4.487944862991881e-07,39.80557109226519,7.319166654454328,C,-5.801353866623025,13.120520521077353
1500,1750,3.097436771918916e-08,7.081177901616113e-08,49.398705354995535,-3.5910305550592057,C,-8.166337467243098,4.575306912183892
2250,-1750,1.9413046925475526e-06,1.1026846793092387e-06,-37.874983651098205,2.456423637928289,C,9.083262009368497,-6.626838371440208
2250,-1250,1.6031552060373663e-06,1.36914265607437e-06,-29.054604099077146,0.6852686842785758,C,10.126996681591912,-9.441727997313336
2250,-750,2.1333391349194177e-06,1.674380322236606e-06,-18.43494882292201,1.052057889074021,C,10.529141751250947,-9.477083862176926
2250,-250,2.818575184296554e-07,5.042889408912003e-08,-6.34019174590991,7.47350179791151,C,9.583356919036797,-2.109855121125287
2250,250,1.0124697133252024e-06,1.2706984867143065e-06,6.34019174590991,-0.986604719737791,C,6.901509902408479,-7.88811462214627
2250,750,2.78678740766909e-06,1.2744663036298813e-06,18.43494882292201,3.3977548208337325,C,2.790945594673695,0.6068092261600375
2250,1250,3.5251947837596903e-06,1.2792436987480253e-06,29.054604099077146,4.402298324063338,C,-1.6251553460839447,6.027453670147283
2250,1750,4.997221123935777e-07,1.449969449975853e-06,37.874983651098205,-4.6263028486660716,C,-5.140458045562703,0.5141551968966311
3000,-1750,9.507216461790562e-07,1.1451040235574723e-06,-30.256437163529263,-0.8079155854685212,C,10.018541248519883,-10.826456833988404
3000,-1250,1.7636769872083955e-06,2.599874717331341e-06,-22.619864948040426,-1.6853337251927911,C,10.499568623229143,-12.184902348421934
3000,-750,1.0958033107401428e-06,8.829240555812161e-07,-14.036243467926479,0.9380925874174224,C,10.367126963711025,-9.429034376293602
3000,-250,2.8679743245707836e-07,6.1994191813102e-07,-4.763641690726178,-3.3477574368835334,C,9.344065467513653,-12.691822904397187
3000,250,9.44083545827371e-07,6.65217228604737e-07,4.763641690726178,1.5204693991992286,C,7.329141235953598,-5.808671836754369
3000,750,2.7960702259874592e-06,8.127089826015963e-07,14.036243467926479,5.366130150418208,C,4.4436326926643925,0.9224974577538152
3000,1250,2.2308666606250666e-06,7.831039105888617e-07,22.619864948040426,4.546542204751589,C,1.0961684927846806,3.450373711966908
3000,1750,1.7795517185429317e-06,1.5080369552186799e-06,30.256437163529263,0.7189863001194894,C,-2.132350005468998,2.8513363055884873
3750,-1750,6.530990786927159e-07,6.616122477190702e-07,-25.016893478100023,-0.05624465132607526,C,10.40523317235332,-10.461477823679395
3750,-1250,5.124236705785832e-07,1.1860559039846457e-06,-18.43494882292201,-3.644759766389406,C,10.529141751250947,-14.173901517640353
3750,-750,9.98867669208478e-07,3.1328567686071047e-07,-11.309932474020213,5.03567416572271,C,10.160281387247505,-5.124607221524794
3750,-250,3.5070999393749593e-07,4.453093482517518e-07,-3.8140748342903543,-1.0371367040268495,C,9.1885657092882,-10.22570241331505
